English;Portuguese
I've got a dog to walk.;Eu tenho um cachorro para passear.
I've got a task to complete.;Eu tenho uma tarefa para concluir.
I've got a piano to tune.;Eu tenho um piano para afinar.
I've got a speech to prepare.;Eu tenho um discurso para preparar.
I've got a flight to catch.;Eu tenho um voo para pegar.
I've got a costume to wear.;Eu tenho uma fantasia para vestir.
I've got a tent to set up.;Eu tenho uma barraca para montar.
I've got a fish to feed.;Eu tenho um peixe para alimentar.
I've got a report to write.;Eu tenho um relatório para escrever.
I've got a bike to repair.;Eu tenho uma bicicleta para consertar.
I've got a cake to bake.;Eu tenho um bolo para assar.
I've got a room to clean.;Eu tenho um quarto para limpar.
I've got a dress to sew.;Eu tenho um vestido para costurar.
I've got a podcast to record.;Eu tenho um podcast para gravar.
I've got a tree to plant.;Eu tenho uma árvore para plantar.
I've got a quiz to study for.;Eu tenho um teste para estudar.
I've got a bag to pack.;Eu tenho uma bolsa para arrumar.
I've got a drawing to sketch.;Eu tenho um desenho para esboçar.
I've got a lamp to replace.;Eu tenho uma lâmpada para trocar.
I've got a guitar to strum.;Eu tenho um violão para tocar.
I've got a budget to plan.;Eu tenho um orçamento para planejar.
I've got a scarf to wear.;Eu tenho um lenço para usar.
I've got a candle to light.;Eu tenho uma vela para acender.
I've got a notebook to fill.;Eu tenho um caderno para preencher.
I've got a meal to prep.;Eu tenho uma refeição para preparar.
I've got a workout to do.;Eu tenho um treino para fazer.
I've got a blog to update.;Eu tenho um blog para atualizar.
I've got a kite to fly.;Eu tenho uma pipa para soltar.
I've got a fence to paint.;Eu tenho uma cerca para pintar.
I've got a volunteer shift.;Eu tenho um turno de voluntário.
I've got a playlist to share.;Eu tenho uma playlist para compartilhar.
I've got a dish to wash.;Eu tenho um prato para lavar.
I've got a ticket to a play.;Eu tenho um ingresso para uma peça.
I've got a journal to write in.;Eu tenho um diário para escrever.
I've got a sweater to mend.;Eu tenho um suéter para consertar.
I've got a trail to hike.;Eu tenho uma trilha para caminhar.
I've got a goal to achieve.;Eu tenho uma meta para alcançar.
I've got a postcard to mail.;Eu tenho um cartão-postal para enviar.
I've got a rug to vacuum.;Eu tenho um tapete para aspirar.
I've got a book to return.;Eu tenho um livro para devolver.
I've got a speech to practice.;Eu tenho um discurso para ensaiar.
I've got a picnic to plan.;Eu tenho um piquenique para planejar.
I've got a model to build.;Eu tenho um modelo para construir.
I've got a puzzle to finish.;Eu tenho um quebra-cabeça para terminar.
I've got a yoga class to attend.;Eu tenho uma aula de ioga para participar.
I've got a smoothie to make.;Eu tenho um smoothie para preparar.
I've got a window to clean.;Eu tenho uma janela para limpar.
I've got a poem to recite.;Eu tenho um poema para recitar.
I've got a bike race to join.;Eu tenho uma corrida de bicicleta para participar.
I've got a craft to create.;Eu tenho um artesanato para fazer.
I've got a meeting to lead.;Eu tenho uma reunião para liderar.
I've got a newsletter to send.;Eu tenho um boletim para enviar.
I've got a new car.;Eu tenho um carro novo.
I've got two sisters.;Eu tenho duas irmãs.
I've got a headache.;Eu estou com dor de cabeça.
I've got a meeting at 3 PM.;Eu tenho uma reunião às 15h.
I've got some good news.;Eu tenho algumas boas notícias.
I've got a lot of work to do.;Eu tenho muito trabalho para fazer.
I've got a question for you.;Eu tenho uma pergunta para você.
I've got a feeling that it will rain.;Eu tenho a sensação de que vai chover.
I've got a ticket for the concert.;Eu tenho um ingresso para o show.
I've got a reservation at the restaurant.;Eu tenho uma reserva no restaurante.
I've got a cold, so I'm staying home.;Eu estou resfriado, então vou ficar em casa.
I've got a busy day ahead of me.;Eu tenho um dia cheio pela frente.
I've got a lot on my mind.;Eu tenho muita coisa na minha cabeça.
I've got a sweet tooth.;Eu gosto muito de doces.
I've got a problem we need to discuss.;Eu tenho um problema que precisamos discutir.
I've got a suggestion.;Eu tenho uma sugestão.
I've got a bad feeling about this.;Eu tenho um mau pressentimento sobre isso.
I've got a few minutes to spare.;Eu tenho alguns minutos de sobra.
I've got a great idea!;Eu tive uma ótima ideia!
I've got a surprise for you.;Eu tenho uma surpresa para você.
I've got a lot of friends.;Eu tenho muitos amigos.
I've got a dog named Max.;Eu tenho um cachorro chamado Max.
I've got a beautiful view from my window.;Eu tenho uma vista linda da minha janela.
I've got a comfortable bed.;Eu tenho uma cama confortável.
I've got a big family.;Eu tenho uma família grande.
I've got a talent for playing the piano.;Eu tenho talento para tocar piano.
I've got a passion for photography.;Eu tenho paixão por fotografia.
I've got a good sense of humor.;Eu tenho um bom senso de humor.
I've got a strong opinion about that.;Eu tenho uma opinião forte sobre isso.
I've got a lot of experience in this field.;Eu tenho muita experiência nesta área.
I've got a degree in engineering.;Eu tenho um diploma em engenharia.
I've got a driver's license.;Eu tenho carteira de motorista.
I've got a credit card.;Eu tenho um cartão de crédito.
I've got a loyalty card for this store.;Eu tenho um cartão fidelidade desta loja.
I've got a membership at the gym.;Eu tenho uma assinatura na academia.
I've got a subscription to that magazine.;Eu tenho uma assinatura daquela revista.
I've got a library card.;Eu tenho uma carteirinha de biblioteca.
I've got a student ID.;Eu tenho uma carteirinha de estudante.
I've got a work permit.;Eu tenho uma permissão de trabalho.
I've got a visa to travel abroad.;Eu tenho um visto para viajar para o exterior.
I've got a reservation under the name Smith.;Eu tenho uma reserva no nome de Smith.
I've got an appointment with the doctor tomorrow.;Eu tenho uma consulta com o médico amanhã.
I've got an interview next week.;Eu tenho uma entrevista na próxima semana.
I've got an exam coming up.;Eu tenho uma prova chegando.
I've got an important deadline to meet.;Eu tenho um prazo importante para cumprir.
I've got an early start tomorrow.;Eu tenho que acordar cedo amanhã.
I've got a late flight tonight.;Eu tenho um voo tarde hoje à noite.
I've got a long journey ahead of me.;Eu tenho uma longa jornada pela frente.
I've got a meeting scheduled for Monday.;Eu tenho uma reunião agendada para segunda-feira.
I've got a party to attend this weekend.;Eu tenho uma festa para ir neste fim de semana.
I've got some free time this afternoon.;Eu tenho algum tempo livre esta tarde.
I've got some errands to run.;Eu tenho algumas coisas para resolver.
I've got some shopping to do.;Eu tenho algumas compras para fazer.
I've got some bills to pay.;Eu tenho algumas contas para pagar.
I've got some laundry to do.;Eu tenho roupa para lavar.
I've got some cleaning to do.;Eu tenho que limpar alguma coisa.
I've got some emails to answer.;Eu tenho alguns e-mails para responder.
I've got some phone calls to make.;Eu tenho algumas ligações para fazer.
I've got some decisions to make.;Eu tenho algumas decisões a tomar.
I've got some plans for the weekend.;Eu tenho alguns planos para o fim de semana.
I've got some exciting news to share.;Eu tenho algumas notícias emocionantes para compartilhar.
I've got some concerns about this project.;Eu tenho algumas preocupações sobre este projeto.
I've got some doubts about his story.;Eu tenho algumas dúvidas sobre a história dele.
I've got some questions about the instructions.;Eu tenho algumas perguntas sobre as instruções.
I've got some ideas for our next vacation.;Eu tenho algumas ideias para nossas próximas férias.
I've got some interesting books to read.;Eu tenho alguns livros interessantes para ler.
I've got some new music to listen to.;Eu tenho algumas músicas novas para ouvir.
I've got some beautiful flowers in my garden.;Eu tenho algumas flores lindas no meu jardim.
I've got some delicious food in the fridge.;Eu tenho comida deliciosa na geladeira.
I've got some comfortable shoes for walking.;Eu tenho alguns sapatos confortáveis para caminhar.
I've got some warm clothes for the winter.;Eu tenho algumas roupas quentes para o inverno.
I've got some sunscreen for the beach.;Eu tenho protetor solar para a praia.
I've got some insect repellent.;Eu tenho repelente de insetos.
I've got some cash on me.;Eu tenho algum dinheiro comigo.
I've got my wallet with me.;Eu estou com minha carteira.
I've got my phone in my pocket.;Eu estou com meu celular no bolso.
I've got my keys right here.;Eu tenho minhas chaves bem aqui.
I've got my glasses on.;Eu estou de óculos.
I've got my umbrella with me.;Eu estou com meu guarda-chuva.
I've got my laptop in my bag.;Eu tenho meu laptop na minha bolsa.
I've got my notebook and pen ready.;Eu tenho meu caderno e caneta prontos.
I've got my camera to take pictures.;Eu tenho minha câmera para tirar fotos.
I've got my passport ready for the trip.;Eu tenho meu passaporte pronto para a viagem.
I've got a friend who lives in New York.;Eu tenho um amigo que mora em Nova York.
I've got a colleague who is very helpful.;Eu tenho um colega que é muito prestativo.
I've got a teacher who is inspiring.;Eu tenho um professor que é inspirador.
I've got a neighbor who is very friendly.;Eu tenho um vizinho que é muito amigável.
I've got a doctor who I trust.;Eu tenho um médico em quem confio.
I've got a feeling of excitement.;Eu tenho uma sensação de excitação.
I've got a sense of accomplishment.;Eu tenho uma sensação de realização.
I've got a feeling of relief.;Eu tenho uma sensação de alívio.
I've got a sense of urgency.;Eu tenho um senso de urgência.
I've got a feeling of nostalgia.;Eu tenho um sentimento de nostalgia.
I've got the impression that he's not telling the truth.;Eu tenho a impressão de que ele não está dizendo a verdade.
I've got the feeling that we've met before.;Eu tenho a sensação de que já nos conhecemos antes.
I've got the sense that something is wrong.;Eu tenho a sensação de que algo está errado.
I've got the idea that we should try a different approach.;Eu tive a ideia de que deveríamos tentar uma abordagem diferente.
I've got the impression that she's very talented.;Eu tenho a impressão de que ela é muito talentosa.
I've got a great idea.; Tenho uma ótima ideia.
I've got a headache.; Estou com dor de cabeça.
I've got two brothers.; Tenho dois irmãos.
I've got a lot of work to do.; Tenho muito trabalho para fazer.
I've got a surprise for you.; Tenho uma surpresa para você.
I've got no time for that.; Não tenho tempo para isso.
I've got a new phone.; Tenho um celular novo.
I've got an important meeting.; Tenho uma reunião importante.
I've got a cold.; Estou resfriado.
I've got nothing to lose.; Não tenho nada a perder.
I've got to go now.; Preciso ir agora.
I've got a ticket for the concert.; Tenho um ingresso para o show.
I've got a problem.; Tenho um problema.
I've got a bad feeling about this.; Tenho um mau pressentimento sobre isso.
I've got a question.; Tenho uma pergunta.
I've got good news.; Tenho boas notícias.
I've got an appointment at 3 PM.; Tenho um compromisso às 15h.
I've got a lot to learn.; Tenho muito a aprender.
I've got a long day ahead.; Tenho um longo dia pela frente.
I've got my passport ready.; Tenho meu passaporte pronto.
I've got a book recommendation for you.; Tenho uma recomendação de livro para você.
I've got to finish this report.; Tenho que terminar este relatório.
I've got to wake up early tomorrow.; Tenho que acordar cedo amanhã.
I've got an idea for our project.; Tenho uma ideia para o nosso projeto.
I've got a lot of friends.; Tenho muitos amigos.
I've got a flat tire.; Estou com um pneu furado.
I've got to pick up my kids from school.; Tenho que buscar meus filhos na escola.
I've got a meeting in an hour.; Tenho uma reunião em uma hora.
I've got no doubts about it.; Não tenho dúvidas sobre isso.
I've got your back.; Estou aqui para te apoiar.
I've got a solution to this problem.; Tenho uma solução para este problema.
I've got to take a break.; Preciso fazer uma pausa.
I've got to call my mom.; Preciso ligar para minha mãe.
I've got a new hobby.; Tenho um novo hobby.
I've got to finish my homework.; Preciso terminar minha lição de casa.
I've got a lot of patience.; Tenho muita paciência.
I've got to pack for my trip.; Preciso fazer as malas para minha viagem.
I've got the recipe you asked for.; Tenho a receita que você pediu.
I've got a lot of energy today.; Tenho muita energia hoje.
I've got a bad habit of procrastinating.; Tenho um mau hábito de procrastinar.
I've got a new job.; Tenho um novo emprego.
I've got an idea for dinner.; Tenho uma ideia para o jantar.
I've got a fear of heights.; Tenho medo de altura.
I've got a great opportunity.; Tenho uma grande oportunidade.
I've got a dog.; Tenho um cachorro.
I've got a plan.; Tenho um plano.
I've got to buy groceries.; Tenho que comprar mantimentos.
I've got my hands full.; Estou ocupado.
I've got to fix my car.; Tenho que consertar meu carro.
I've got no regrets.; Não tenho arrependimentos.
I've got an invitation to the event.; Tenho um convite para o evento.
I've got a sore throat.; Estou com dor de garganta.
I've got too much on my plate.; Tenho muitas coisas para fazer.
I've got the flu.; Estou com gripe.
I've got to be honest with you.; Tenho que ser honesto com você.
I've got a secret.; Tenho um segredo.
I've got great memories from that trip.; Tenho ótimas lembranças dessa viagem.
I've got to learn how to cook.; Preciso aprender a cozinhar.
I've got a new car.;Eu tenho um carro novo.
I've got two brothers.;Eu tenho dois irmãos.
I've got a headache.;Eu estou com dor de cabeça.
I've got a lot of work to do.;Eu tenho muito trabalho a fazer.
I've got a meeting at 3 PM.;Eu tenho uma reunião às 15h.
I've got a question.;Eu tenho uma pergunta.
I've got a cold.;Eu estou resfriado.
I've got a dog.;Eu tenho um cachorro.
I've got a surprise for you.;Eu tenho uma surpresa para você.
I've got a ticket for the concert.;Eu tenho um ingresso para o show.
I've got a problem.;Eu tenho um problema.
I've got a plan.;Eu tenho um plano.
I've got a feeling.;Eu tenho um pressentimento.
I've got a chance.;Eu tenho uma chance.
I've got a reservation.;Eu tenho uma reserva.
I've got a new job.;Eu tenho um emprego novo.
I've got a gift for you.;Eu tenho um presente para você.
I've got a lot of friends.;Eu tenho muitos amigos.
I've got a bike.;Eu tenho uma bicicleta.
I've got a new phone.;Eu tenho um celular novo.
I've got a lot to learn.;Eu tenho muito a aprender.
I've got a cold.;Eu estou resfriado.
I've got a headache.;Eu estou com dor de cabeça.
I've got a lot of energy.;Eu tenho muita energia.
I've got a question for you.;Eu tenho uma pergunta para você.
I've got a new idea.;Eu tenho uma nova ideia.
I've got a lot of work.;Eu tenho muito trabalho.
I've got a problem to solve.;Eu tenho um problema para resolver.
I've got a lot of fun.;Eu me divirto muito.
I've got a new house.;Eu tenho uma casa nova.
I've got a lot of money.;Eu tenho muito dinheiro.
I've got a lot of time.;Eu tenho muito tempo.
I've got a lot of patience.;Eu tenho muita paciência.
I've got a lot of love.;Eu tenho muito amor.
I've got a lot of hope.;Eu tenho muita esperança.
I've got a lot of courage.;Eu tenho muita coragem.
I've got a lot of strength.;Eu tenho muita força.
I've got a lot of support.;Eu tenho muito apoio.
I've got a lot of experience.;Eu tenho muita experiência.
I've got a lot of knowledge.;Eu tenho muito conhecimento.
I've got a lot of skills.;Eu tenho muitas habilidades.
I've got a lot of talent.;Eu tenho muito talento.
I've got a lot of confidence.;Eu tenho muita confiança.
I've got a lot of determination.;Eu tenho muita determinação.
I've got a lot of ambition.;Eu tenho muita ambição.
I've got a lot of dreams.;Eu tenho muitos sonhos.
I've got a lot of goals.;Eu tenho muitos objetivos.
I've got a lot of ideas.;Eu tenho muitas ideias.
I've got a lot of inspiration.;Eu tenho muita inspiração.
I've got a lot of motivation.;Eu tenho muita motivação.
I've got a lot of energy.;Eu tenho muita energia.
I've got a lot of enthusiasm.;Eu tenho muito entusiasmo.
I've got a lot of passion.;Eu tenho muita paixão.
I've got a lot of creativity.;Eu tenho muita criatividade.
I've got a lot of curiosity.;Eu tenho muita curiosidade.
I've got a lot of patience.;Eu tenho muita paciência.
I've got a lot of understanding.;Eu tenho muita compreensão.
I've got a lot of empathy.;Eu tenho muita empatia.
I've got a lot of kindness.;Eu tenho muita bondade.
I've got a lot of generosity.;Eu tenho muita generosidade.
I've got a lot of gratitude.;Eu tenho muita gratidão.
I've got a lot of respect.;Eu tenho muito respeito.
I've got a lot of honesty.;Eu tenho muita honestidade.
I've got a lot of integrity.;Eu tenho muita integridade.
I've got a lot of loyalty.;Eu tenho muita lealdade.
I've got a lot of friendship.;Eu tenho muita amizade.
I've got a lot of love.;Eu tenho muito amor.
I've got a lot of happiness.;Eu tenho muita felicidade.
I've got a lot of joy.;Eu tenho muita alegria.
I've got a lot of peace.;Eu tenho muita paz.
I've got a lot of calm.;Eu tenho muita calma.
I've got a lot of relaxation.;Eu tenho muito relaxamento.
I've got a lot of comfort.;Eu tenho muito conforto.
I've got a lot of safety.;Eu tenho muita segurança.
I've got a lot of security.;Eu tenho muita proteção.
I've got a lot of health.;Eu tenho muita saúde.
I've got a lot of strength.;Eu tenho muita força.
I've got a lot of energy.;Eu tenho muita energia.
I've got a lot of vitality.;Eu tenho muita vitalidade.
I've got a lot of wellness.;Eu tenho muito bem-estar.
I've got a lot of balance.;Eu tenho muito equilíbrio.
I've got a lot of harmony.;Eu tenho muita harmonia.
I've got a lot of success.;Eu tenho muito sucesso.
I've got a lot of achievement.;Eu tenho muitas conquistas.
I've got a lot of progress.;Eu tenho muito progresso.
I've got a lot of growth.;Eu tenho muito crescimento.
I've got a lot of improvement.;Eu tenho muita melhoria.
I've got a lot of development.;Eu tenho muito desenvolvimento.
I've got a lot of learning.;Eu tenho muito aprendizado.
I've got a lot of knowledge.;Eu tenho muito conhecimento.
I've got a lot of wisdom.;Eu tenho muita sabedoria.
I've got a lot of insight.;Eu tenho muita percepção.
I've got a lot of understanding.;Eu tenho muita compreensão.
I've got a lot of awareness.;Eu tenho muita consciência.
I've got a lot of consciousness.;Eu tenho muita consciência.
I've got a lot of clarity.;Eu tenho muita clareza.
I've got a lot of focus.;Eu tenho muito foco.
I've got a lot of attention.;Eu tenho muita atenção.
I've got a lot of concentration.;Eu tenho muita concentração.
I've got a lot of mindfulness.;Eu tenho muita atenção plena.
I've got a lot of presence.;Eu tenho muita presença.
I've got a lot of gratitude.;Eu tenho muita gratidão.
I've got a lot of appreciation.;Eu tenho muita apreciação.
I've got a lot of thankfulness.;Eu tenho muita gratidão.
I've got a lot of recognition.;Eu tenho muito reconhecimento.
I've got a lot of respect.;Eu tenho muito respeito.
I've got a lot of honor.;Eu tenho muita honra.
I've got a lot of dignity.;Eu tenho muita dignidade.
I've got a lot of pride.;Eu tenho muito orgulho.
I've got a lot of confidence.;Eu tenho muita confiança.
