English;Portuguese
I've been planting trees in my yard.;Eu estive plantando árvores no meu quintal.
I've been networking with professionals.;Eu estive fazendo contatos com profissionais.
I've been studying abroad.;Eu estive estudando no exterior.
I've been learning to dance salsa.;Eu estive aprendendo a dançar salsa.
I've been reviewing my notes.;Eu estive revisando minhas anotações.
I've been babysitting my nephew.;Eu estive cuidando do meu sobrinho.
I've been coding a new app.;Eu estive programando um novo aplicativo.
I've been commuting by train.;Eu estive me deslocando de trem.
I've been editing a video.;Eu estive editando um vídeo.
I've been practicing my handwriting.;Eu estive praticando minha caligrafia.
I've been decluttering my home.;Eu estive desapegando coisas da minha casa.
I've been attending webinars.;Eu estive participando de webinars.
I've been sketching in my notebook.;Eu estive desenhando no meu caderno.
I've been managing my finances.;Eu estive gerenciando minhas finanças.
I've been exploring local markets.;Eu estive explorando mercados locais.
I've been tutoring a classmate.;Eu estive dando aulas particulares a um colega.
I've been sewing a quilt.;Eu estive costurando uma colcha.
I've been photographing nature.;Eu estive fotografando a natureza.
I've been studying history.;Eu estive estudando história.
I've been practicing yoga outdoors.;Eu estive praticando ioga ao ar livre.
I've been debugging software.;Eu estive corrigindo erros em software.
I've been attending music festivals.;Eu estive frequentando festivais de música.
I've been learning about astronomy.;Eu estive aprendendo sobre astronomia.
I've been training for a triathlon.;Eu estive treinando para um triatlo.
I've been brainstorming new ideas.;Eu estive fazendo um brainstorming de novas ideias.
I've been perfecting my chess strategy.;Eu estive aperfeiçoando minha estratégia de xadrez.
I've been waiting for you.; Tenho esperado por você.
I've been working all day.; Tenho trabalhado o dia todo.
I've been thinking about that.; Tenho pensado sobre isso.
I've been feeling tired lately.; Tenho me sentido cansado ultimamente.
I've been watching that show.; Tenho assistido a esse programa.
I've been studying English.; Tenho estudado inglês.
I've been enjoying the weather.; Tenho aproveitado o clima.
I've been traveling a lot.; Tenho viajado muito.
I've been learning new things.; Tenho aprendido coisas novas.
I've been practicing my guitar skills.; Tenho praticado minhas habilidades no violão.
I've been reading a great book.; Tenho lido um ótimo livro.
I've been spending time with family.; Tenho passado tempo com a família.
I've been listening to music.; Tenho ouvido música.
I've been cooking new recipes.; Tenho cozinhado novas receitas.
I've been feeling much better.; Tenho me sentido muito melhor.
I've been making progress.; Tenho feito progresso.
I've been trying to sleep earlier.; Tenho tentado dormir mais cedo.
I've been saving money.; Tenho economizado dinheiro.
I've been exercising regularly.; Tenho feito exercícios regularmente.
I've been drinking more water.; Tenho bebido mais água.
I've been improving my writing.; Tenho melhorado minha escrita.
I've been organizing my schedule.; Tenho organizado minha agenda.
I've been decorating my house.; Tenho decorado minha casa.
I've been updating my resume.; Tenho atualizado meu currículo.
I've been exploring new places.; Tenho explorado novos lugares.
I've been fixing my car.; Tenho consertado meu carro.
I've been watching documentaries.; Tenho assistido a documentários.
I've been cleaning my room.; Tenho limpado meu quarto.
I've been helping my friends.; Tenho ajudado meus amigos.
I've been planning my future.; Tenho planejado meu futuro.
I've been taking care of myself.; Tenho cuidado de mim mesmo.
I've been supporting my team.; Tenho apoiado minha equipe.
I've been following the news.; Tenho acompanhado as notícias.
I've been updating my software.; Tenho atualizado meu software.
I've been discussing interesting topics.; Tenho discutido tópicos interessantes.
I've been fixing errors in my code.; Tenho corrigido erros no meu código.
I've been preparing for an exam.; Tenho me preparado para um exame.
I've been planting new flowers.; Tenho plantado novas flores.
I've been meeting new people.; Tenho conhecido novas pessoas.
I've been doing some research.; Tenho feito algumas pesquisas.
I've been working on my project.; Tenho trabalhado no meu projeto.
I've been mentoring young students.; Tenho orientado estudantes jovens.
I've been looking for a new job.; Tenho procurado um novo emprego.
I've been learning a new language.; Tenho aprendido um novo idioma.
I've been attending interesting events.; Tenho participado de eventos interessantes.
I've been making new friends.; Tenho feito novos amigos.
I've been drinking less coffee.; Tenho bebido menos café.
I've been doing yoga every morning.; Tenho feito yoga todas as manhãs.
I've been trying out new hobbies.; Tenho experimentado novos hobbies.
I've been spending less time online.; Tenho passado menos tempo online.
I've been improving my social skills.; Tenho melhorado minhas habilidades sociais.
I've been meditating daily.; Tenho meditado diariamente.
I've been watching the sunset.; Tenho assistido ao pôr do sol.
I've been feeding the birds.; Tenho alimentado os pássaros.
I've been avoiding junk food.; Tenho evitado comida lixo.
I've been practicing mindfulness.; Tenho praticado atenção plena.
I've been analyzing my investments.; Tenho analisado meus investimentos.
I've been reorganizing my closet.; Tenho reorganizado meu armário.
I've been listening to podcasts.; Tenho ouvido podcasts.
I've been talking to new people.; Tenho conversado com novas pessoas.
I've been making healthier choices.; Tenho feito escolhas mais saudáveis.
I've been following a new routine.; Tenho seguido uma nova rotina.
I've been preparing my meals.; Tenho preparado minhas refeições.
I've been working on this project all day.;Eu estive trabalhando neste projeto o dia todo.
I've been to that restaurant before.;Eu já fui àquele restaurante antes.
I've been feeling a bit tired lately.;Eu tenho me sentido um pouco cansado ultimamente.
I've been reading a very interesting book.;Eu estive lendo um livro muito interessante.
I've been waiting for you for twenty minutes.;Eu estive esperando por você por vinte minutos.
I've been thinking about our conversation.;Eu estive pensando sobre nossa conversa.
I've been meaning to call you.;Eu estava querendo te ligar.
I've been so busy with work.;Eu tenho estado tão ocupado com o trabalho.
I've been learning to play the guitar.;Eu estive aprendendo a tocar violão.
I've been traveling a lot recently.;Eu tenho viajado muito recentemente.
I've been having trouble sleeping.;Eu tenho tido problemas para dormir.
I've been exercising more often.;Eu tenho me exercitado com mais frequência.
I've been trying new recipes.;Eu tenho experimentado novas receitas.
I've been following the news closely.;Eu tenho acompanhado as notícias de perto.
I've been wanting to visit that museum.;Eu estava querendo visitar aquele museu.
I've been spending more time with my family.;Eu tenho passado mais tempo com minha família.
I've been looking for a new job.;Eu estive procurando um novo emprego.
I've been feeling much better today.;Eu tenho me sentido muito melhor hoje.
I've been listening to a lot of podcasts.;Eu tenho escutado muitos podcasts.
I've been studying English for a few months now.;Eu tenho estudado inglês por alguns meses agora.
I've been living in this city for five years.;Eu tenho morado nesta cidade por cinco anos.
I've been a fan of that band since I was a teenager.;Eu sou fã daquela banda desde que era adolescente.
I've been involved in several community projects.;Eu tenho estado envolvido em vários projetos comunitários.
I've been working from home since March.;Eu tenho trabalhado em casa desde março.
I've been trying to learn a new language.;Eu tenho tentado aprender um novo idioma.
I've been feeling quite stressed lately.;Eu tenho me sentido bastante estressado ultimamente.
I've been enjoying the warmer weather.;Eu tenho aproveitado o clima mais quente.
I've been considering moving to a new place.;Eu tenho considerado me mudar para um lugar novo.
I've been following your career with interest.;Eu tenho acompanhado sua carreira com interesse.
I've been having some technical difficulties.;Eu tenho tido algumas dificuldades técnicas.
I've been trying to eat healthier.;Eu tenho tentado comer de forma mais saudável.
I've been thinking about taking a vacation.;Eu tenho pensado em tirar férias.
I've been noticing some changes around here.;Eu tenho notado algumas mudanças por aqui.
I've been meaning to ask you about that.;Eu estava querendo te perguntar sobre isso.
I've been keeping busy with various activities.;Eu tenho me mantido ocupado com várias atividades.
I've been looking forward to this weekend.;Eu estava ansioso por este fim de semana.
I've been feeling inspired recently.;Eu tenho me sentido inspirado recentemente.
I've been trying to get in touch with her.;Eu tenho tentado entrar em contato com ela.
I've been a member of this club for years.;Eu sou membro deste clube há anos.
I've been participating in online courses.;Eu tenho participado de cursos online.
I've been following this sports team since childhood.;Eu acompanho este time esportivo desde a infância.
I've been working on improving my communication skills.;Eu tenho trabalhado para melhorar minhas habilidades de comunicação.
I've been exploring different hobbies.;Eu tenho explorado diferentes hobbies.
I've been feeling grateful for my friends and family.;Eu tenho me sentido grato por meus amigos e família.
I've been trying to be more organized.;Eu tenho tentado ser mais organizado.
I've been thinking about starting my own business.;Eu tenho pensado em abrir meu próprio negócio.
I've been noticing how much the city has changed.;Eu tenho notado o quanto a cidade mudou.
I've been meaning to read that article you sent me.;Eu estava querendo ler aquele artigo que você me enviou.
I've been keeping up with the latest technology news.;Eu tenho me mantido atualizado com as últimas notícias de tecnologia.
I've been looking for some good documentaries to watch.;Eu tenho procurado alguns bons documentários para assistir.
I've been feeling optimistic about the future.;Eu tenho me sentido otimista sobre o futuro.
I've been trying to learn how to cook new dishes.;Eu tenho tentado aprender a cozinhar pratos novos.
I've been thinking about volunteering somewhere.;Eu tenho pensado em fazer trabalho voluntário em algum lugar.
I've been noticing the beautiful flowers in the garden.;Eu tenho notado as belas flores no jardim.
I've been meaning to visit my grandparents.;Eu estava querendo visitar meus avós.
I've been keeping track of my expenses.;Eu tenho mantido o controle das minhas despesas.
I've been looking for some new music to listen to.;Eu tenho procurado músicas novas para ouvir.
I've been feeling more energetic lately.;Eu tenho me sentido mais energético ultimamente.
I've been trying to wake up earlier.;Eu tenho tentado acordar mais cedo.
I've been thinking about getting a pet.;Eu tenho pensado em ter um animal de estimação.
I've been noticing the changes in the weather patterns.;Eu tenho notado as mudanças nos padrões climáticos.
I've been meaning to fix that leaky faucet.;Eu estava querendo consertar aquela torneira pingando.
I've been keeping my fingers crossed for good news.;Eu tenho cruzado os dedos por boas notícias.
I've been looking for some interesting places to hike.;Eu tenho procurado alguns lugares interessantes para fazer trilha.
I've been feeling a sense of accomplishment.;Eu tenho sentido uma sensação de realização.
I've been trying to reduce my screen time.;Eu tenho tentado reduzir meu tempo de tela.
I've been thinking about learning a new skill.;Eu tenho pensado em aprender uma nova habilidade.
I've been noticing how much the children have grown.;Eu tenho notado o quanto as crianças cresceram.
I've been meaning to organize my closet.;Eu estava querendo organizar meu armário.
I've been keeping up with my favorite TV shows.;Eu tenho acompanhado meus programas de TV favoritos.
I've been looking for some good deals online.;Eu tenho procurado algumas boas ofertas online.
I've been feeling more focused at work.;Eu tenho me sentido mais focado no trabalho.
I've been trying to drink more water.;Eu tenho tentado beber mais água.
I've been thinking about redecorating my living room.;Eu tenho pensado em redecorar minha sala de estar.
I've been noticing the beautiful sunsets lately.;Eu tenho notado os belos pores do sol ultimamente.
I've been meaning to try that new coffee shop.;Eu estava querendo experimentar aquela cafeteria nova.
I've been keeping up with the latest fashion trends.;Eu tenho me mantido atualizado com as últimas tendências da moda.
I've been looking for some inspiration for my writing.;Eu tenho procurado alguma inspiração para minha escrita.
I've been feeling more creative recently.;Eu tenho me sentido mais criativo recentemente.
I've been trying to be more patient.;Eu tenho tentado ser mais paciente.
I've been thinking about planting a garden.;Eu tenho pensado em plantar um jardim.
I've been noticing the changing seasons.;Eu tenho notado as mudanças nas estações.
I've been meaning to read more classic literature.;Eu estava querendo ler mais literatura clássica.
I've been keeping up with the developments in science.;Eu tenho acompanhado os desenvolvimentos na ciência.
I've been looking for some good podcasts about history.;Eu tenho procurado alguns bons podcasts sobre história.
I've been feeling more connected to my community.;Eu tenho me sentido mais conectado à minha comunidade.
I've been trying to be more mindful.;Eu tenho tentado ser mais consciente.
I've been thinking about taking a weekend trip.;Eu tenho pensado em fazer uma viagem de fim de semana.
I've been noticing the different architectural styles in the city.;Eu tenho notado os diferentes estilos arquitetônicos na cidade.
I've been meaning to learn more about photography.;Eu estava querendo aprender mais sobre fotografia.
I've been keeping up with the news from my hometown.;Eu tenho acompanhado as notícias da minha cidade natal.
I've been looking for some good recipes for vegetarian dishes.;Eu tenho procurado algumas boas receitas de pratos vegetarianos.
I've been feeling a greater sense of peace lately.;Eu tenho sentido uma maior sensação de paz ultimamente.
I've been trying to improve my time management skills.;Eu tenho tentado melhorar minhas habilidades de gerenciamento de tempo.
I've been thinking about learning calligraphy.;Eu tenho pensado em aprender caligrafia.
I've been noticing the different types of birds in the park.;Eu tenho notado os diferentes tipos de pássaros no parque.
I've been meaning to visit the art gallery downtown.;Eu estava querendo visitar a galeria de arte no centro da cidade.
I've been keeping up with the latest movie releases.;Eu tenho acompanhado os últimos lançamentos de filmes.
I've been looking for some good books on personal development.;Eu tenho procurado alguns bons livros sobre desenvolvimento pessoal.
I've been feeling more confident in my abilities.;Eu tenho me sentido mais confiante em minhas habilidades.
I've been trying to incorporate more vegetables into my diet.;Eu tenho tentado incorporar mais vegetais na minha dieta.
I've been thinking about learning how to meditate.;Eu tenho pensado em aprender a meditar.
I've been noticing the stars more clearly at night.;Eu tenho notado as estrelas com mais clareza à noite.
I've been meaning to learn basic first aid.;Eu estava querendo aprender primeiros socorros básicos.
I've been keeping up with the discussions on social media.;Eu tenho acompanhado as discussões nas redes sociais.
I've been looking for some good documentaries about nature.;Eu tenho procurado alguns bons documentários sobre a natureza.
I've been feeling more grateful for the small things in life.;Eu tenho me sentido mais grato pelas pequenas coisas da vida.
I've been trying to be more punctual.;Eu tenho tentado ser mais pontual.
I've been thinking about learning a martial art.;Eu tenho pensado em aprender uma arte marcial.
I've been working all day.;Tenho trabalhado o dia todo.
I've been thinking about you.;Tenho pensado em você.
I've been waiting for hours.;Tenho esperado por horas.
I've been learning English.;Tenho aprendido inglês.
I've been living here for five years.;Tenho morado aqui há cinco anos.
I've been feeling tired lately.;Tenho me sentido cansado ultimamente.
I've been reading that book.;Tenho lido aquele livro.
I've been cooking dinner.;Tenho cozinhado o jantar.
I've been cleaning the house.;Tenho limpado a casa.
I've been looking for my keys.;Tenho procurado minhas chaves.
I've been practicing the piano.;Tenho praticado piano.
I've been running every morning.;Tenho corrido todas as manhãs.
I've been watching that show.;Tenho assistido àquele programa.
I've been missing you.;Tenho sentido sua falta.
I've been trying to call you.;Tenho tentado te ligar.
I've been planning our trip.;Tenho planejado nossa viagem.
I've been dreaming a lot lately.;Tenho sonhado muito ultimamente.
I've been fixing my car.;Tenho consertado meu carro.
I've been painting the walls.;Tenho pintado as paredes.
I've been working out regularly.;Tenho me exercitado regularmente.
I've been saving money.;Tenho economizado dinheiro.
I've been studying for the test.;Tenho estudado para a prova.
I've been helping my parents.;Tenho ajudado meus pais.
I've been working from home.;Tenho trabalhado de casa.
I've been feeling better.;Tenho me sentido melhor.
I've been going to therapy.;Tenho ido à terapia.
I've been attending online classes.;Tenho assistido aulas online.
I've been eating healthier.;Tenho comido de forma mais saudável.
I've been cutting down on sugar.;Tenho reduzido o açúcar.
I've been waking up early.;Tenho acordado cedo.
I've been enjoying this book.;Tenho gostado deste livro.
I've been listening to that podcast.;Tenho escutado aquele podcast.
I've been gardening a lot.;Tenho feito muita jardinagem.
I've been meditating daily.;Tenho meditado diariamente.
I've been exploring new hobbies.;Tenho explorado novos hobbies.
I've been staying at home.;Tenho ficado em casa.
I've been organizing my files.;Tenho organizado meus arquivos.
I've been baking bread.;Tenho assado pão.
I've been improving my skills.;Tenho melhorado minhas habilidades.
I've been writing a novel.;Tenho escrito um romance.
I've been attending webinars.;Tenho participado de webinars.
I've been upgrading my computer.;Tenho atualizado meu computador.
I've been fixing the sink.;Tenho consertado a pia.
I've been relaxing on weekends.;Tenho relaxado nos fins de semana.
I've been walking my dog.;Tenho passeado com meu cachorro.
I've been feeding the birds.;Tenho alimentado os pássaros.
I've been studying hard.;Tenho estudado bastante.
I've been waiting for your reply.;Tenho esperado sua resposta.
I've been missing my hometown.;Tenho sentido falta da minha cidade natal.
I've been sending out resumes.;Tenho enviado currículos.
I've been trying new recipes.;Tenho testado novas receitas.
I've been building a model airplane.;Tenho construído um avião modelo.
I've been watching tutorials.;Tenho assistido tutoriais.
I've been using a new app.;Tenho usado um novo aplicativo.
I've been fixing my bike.;Tenho consertado minha bicicleta.
I've been updating my profile.;Tenho atualizado meu perfil.
I've been organizing my closet.;Tenho organizado meu armário.
I've been thinking about changing jobs.;Tenho pensado em mudar de emprego.
I've been calling my grandparents.;Tenho ligado para meus avós.
I've been volunteering at the shelter.;Tenho feito trabalho voluntário no abrigo.
I've been writing in my journal.;Tenho escrito no meu diário.
I've been shopping online.;Tenho feito compras online.
I've been redecorating my room.;Tenho redecorado meu quarto.
I've been watching the news.;Tenho assistido às notícias.
I've been waiting for the package.;Tenho esperado o pacote.
I've been knitting a sweater.;Tenho tricotado um suéter.
I've been cleaning out the garage.;Tenho limpado a garagem.
I've been calling customer support.;Tenho ligado para o suporte ao cliente.
I've been comparing prices.;Tenho comparado preços.
I've been researching that topic.;Tenho pesquisado sobre aquele assunto.
I've been taking online courses.;Tenho feito cursos online.
I've been sketching in my notebook.;Tenho feito esboços no meu caderno.
I've been building a website.;Tenho construído um site.
I've been attending virtual meetings.;Tenho participado de reuniões virtuais.
I've been caring for my plants.;Tenho cuidado das minhas plantas.
I've been decorating for the holidays.;Tenho decorado para os feriados.
I've been looking into that issue.;Tenho investigado esse problema.
I've been baking cookies.;Tenho assado biscoitos.
I've been trying to lose weight.;Tenho tentado perder peso.
I've been thinking about moving.;Tenho pensado em me mudar.
I've been helping my neighbors.;Tenho ajudado meus vizinhos.
I've been learning to play guitar.;Tenho aprendido a tocar violão.
I've been catching up on work.;Tenho colocado o trabalho em dia.
I've been watching old movies.;Tenho assistido filmes antigos.
I've been improving my accent.;Tenho melhorado meu sotaque.
I've been updating my resume.;Tenho atualizado meu currículo.
I've been practicing yoga.;Tenho praticado ioga.
I've been playing video games.;Tenho jogado videogame.
I've been walking more.;Tenho caminhado mais.
I've been checking the weather.;Tenho conferido o tempo.
I've been feeling stressed.;Tenho me sentido estressado.
I've been avoiding crowded places.;Tenho evitado lugares lotados.
I've been trying to stay positive.;Tenho tentado manter o otimismo.
I've been looking forward to vacation.;Tenho aguardado ansiosamente as férias.
I've been learning to cook.;Tenho aprendido a cozinhar.
I've been talking to new people.;Tenho conversado com pessoas novas.
I've been preparing for the interview.;Tenho me preparado para a entrevista.
I've been taking care of myself.;Tenho cuidado de mim mesmo.
I've been learning new words.;Tenho aprendido novas palavras.
I've been paying more attention.;Tenho prestado mais atenção.
I've been planning a surprise.;Tenho planejado uma surpresa.
I've been following the instructions.;Tenho seguido as instruções.
