English;Portuguese
I've exercised today.;Eu me exercitei hoje.
I've finished the report.;Eu terminei o relatório.
I've given up sugar.;Eu parei de comer açúcar.
I've hired a new employee.;Eu contratei um novo funcionário.
I've installed the software.;Eu instalei o software.
I've joined a gym.;Eu entrei em uma academia.
I've learned to drive.;Eu aprendi a dirigir.
I've moved to a new city.;Eu me mudei para uma nova cidade.
I've organized the event.;Eu organizei o evento.
I've played the piano.;Eu toquei piano.
I've quit my job.;Eu pedi demissão.
I've read the instructions.;Eu li as instruções.
I've signed the contract.;Eu assinei o contrato.
I've told the truth.;Eu disse a verdade.
I've updated my profile.;Eu atualizei meu perfil.
I've visited the doctor.;Eu visitei o médico.
I've won a prize.;Eu ganhei um prêmio.
I've written a book.;Eu escrevi um livro.
I've just finished my homework.;Eu acabei de terminar meu dever de casa.
I've seen that movie twice.;Eu vi esse filme duas vezes.
I've never been to Paris.;Eu nunca estive em Paris.
I've already eaten breakfast.;Eu já tomei café da manhã.
I've lost my keys again.;Eu perdi minhas chaves novamente.
I've decided to learn Spanish.;Eu decidi aprender espanhol.
I've worked here for five years.;Eu trabalhei aqui por cinco anos.
I've forgotten his name.;Eu esqueci o nome dele.
I've bought a new car.;Eu comprei um carro novo.
I've always loved to read.;Eu sempre amei ler.
I've visited ten countries.;Eu visitei dez países.
I've just called my mom.;Eu acabei de ligar para minha mãe.
I've written three emails today.;Eu escrevi três emails hoje.
I've never tried sushi.;Eu nunca experimentei sushi.
I've met her before.;Eu já a conheci antes.
I've painted my room blue.;Eu pintei meu quarto de azul.
I've learned a lot this year.;Eu aprendi muito este ano.
I've broken my phone screen.;Eu quebrei a tela do meu celular.
I've started a new hobby.;Eu comecei um novo hobby.
I've saved enough for a trip.;Eu economizei o suficiente para uma viagem.
I've watched all the episodes.;Eu assisti a todos os episódios.
I've cleaned the house today.;Eu limpei a casa hoje.
I've made a cake for you.;Eu fiz um bolo para você.
I've taken up yoga classes.;Eu comecei a fazer aulas de ioga.
I've read half the book.;Eu li metade do livro.
I've lost ten pounds.;Eu perdi dez quilos.
I've found a new job.;Eu encontrei um novo emprego.
I've never seen snow.;Eu nunca vi neve.
I've played soccer since childhood.;Eu jogo futebol desde a infância.
I've cooked dinner tonight.;Eu cozinhei o jantar hoje à noite.
I've ordered pizza for us.;Eu pedi pizza para nós.
I've studied for the test.;Eu estudei para a prova.
I've walked five miles today.;Eu caminhei cinco milhas hoje.
I've changed my hairstyle.;Eu mudei meu penteado.
I've planted a tree.;Eu plantei uma árvore.
I've fixed the leaky faucet.;Eu consertei a torneira que estava vazando.
I've joined a book club.;Eu entrei para um clube do livro.
I've tried to call you.;Eu tentei te ligar.
I've missed the bus again.;Eu perdi o ônibus novamente.
I've drawn a portrait.;Eu desenhei um retrato.
I've won a chess match.;Eu ganhei uma partida de xadrez.
I've listened to that song.;Eu ouvi aquela música.
I've organized my desk.;Eu organizei minha mesa.
I've adopted a puppy.;Eu adotei um filhote de cachorro.
I've painted a landscape.;Eu pintei uma paisagem.
I've attended a concert.;Eu fui a um show.
I've donated to charity.;Eu doei para a caridade.
I've built a bookshelf.;Eu construí uma estante.
I've learned to knit.;Eu aprendi a tricotar.
I've traveled by train.;Eu viajei de trem.
I've completed the project.;Eu completei o projeto.
I've tasted exotic fruits.;Eu experimentei frutas exóticas.
I've run a marathon.;Eu corri uma maratona.
I've watched the sunrise.;Eu vi o nascer do sol.
I've studied abroad.;Eu estudei no exterior.
I've coded a simple app.;Eu programei um aplicativo simples.
I've danced at a party.;Eu dancei em uma festa.
I've climbed a mountain.;Eu escalei uma montanha.
I've bought concert tickets.;Eu comprei ingressos para um show.
I've taught a class.;Eu dei uma aula.
I've repaired my bike.;Eu consertei minha bicicleta.
I've explored a new city.;Eu explorei uma nova cidade.
I've caught a fish.;Eu peguei um peixe.
I've sung in a choir.;Eu cantei em um coral.
I've written a poem.;Eu escrevi um poema.
I've driven across the country.;Eu dirigi pelo país.
I've helped a neighbor.;Eu ajudei um vizinho.
I've baked cookies.;Eu assei biscoitos.
I've photographed a sunset.;Eu fotografei um pôr do sol.
I've created a blog.;Eu criei um blog.
I've swam in the ocean.;Eu nadei no oceano.
I've attended a wedding.;Eu fui a um casamento.
I've solved a puzzle.;Eu resolvi um quebra-cabeça.
I've grown vegetables.;Eu cultivei vegetais.
I've painted my nails.;Eu pintei minhas unhas.
I've visited a museum.;Eu visitei um museu.
I've played the piano.;Eu toquei piano.
I've stayed up all night.;Eu fiquei acordado a noite toda.
I've designed a poster.;Eu projetei um cartaz.
I've hiked in the forest.;Eu caminhei na floresta.
I've updated my resume.;Eu atualizei meu currículo.
I've negotiated a deal.;Eu negociei um acordo.
I've learned to meditate.;Eu aprendi a meditar.
I've sewn a dress.;Eu costurei um vestido.
I've hosted a party.;Eu organizei uma festa.
I've skated on ice.;Eu patinei no gelo.
I've tasted new cuisine.;Eu experimentei uma nova culinária.
I've volunteered at a shelter.;Eu fiz trabalho voluntário em um abrigo.
I've watched a documentary.;Eu assisti a um documentário.
I've collected rare coins.;Eu colecionei moedas raras.
I've attended a workshop.;Eu participei de um workshop.
I've cleaned my car.;Eu limpei meu carro.
I've jogged in the park.;Eu corri no parque.
I've edited a video.;Eu editei um vídeo.
I've fed the birds.;Eu alimentei os pássaros.
I've planned a vacation.;Eu planejei uma viagem.
I've shared my story.;Eu compartilhei minha história.
I've discovered a new band.;Eu descobri uma nova banda.
I've recycled old clothes.;Eu reciclei roupas velhas.
I've just finished writing a response.;Eu acabei de terminar de escrever uma resposta.
I've seen that movie three times.;Eu vi esse filme três vezes.
I've never been to Japan.;Eu nunca estive no Japão.
I've already had lunch today.;Eu já almocei hoje.
I've lost my wallet somewhere.;Eu perdi minha carteira em algum lugar.
I've decided to start jogging.;Eu decidi começar a correr.
I've worked at this company for a year.;Eu trabalhei nesta empresa por um ano.
I've forgotten where I parked.;Eu esqueci onde estacionei.
I've bought new headphones.;Eu comprei fones de ouvido novos.
I've always wanted to skydive.;Eu sempre quis fazer paraquedismo.
I've visited the Grand Canyon.;Eu visitei o Grand Canyon.
I've just texted my friend.;Eu acabei de mandar uma mensagem para meu amigo.
I've written a short story.;Eu escrevi um conto.
I've never tried rock climbing.;Eu nunca experimentei escalada.
I've met the new neighbor.;Eu conheci o novo vizinho.
I've painted my bedroom walls.;Eu pintei as paredes do meu quarto.
I've learned to play chess.;Eu aprendi a jogar xadrez.
I've broken my favorite mug.;Eu quebrei minha caneca favorita.
I've started gardening recently.;Eu comecei a fazer jardinagem recentemente.
I've saved up for a bike.;Eu economizei para uma bicicleta.
I've watched a new documentary.;Eu assisti a um novo documentário.
I've cleaned my kitchen today.;Eu limpei minha cozinha hoje.
I've made homemade pizza.;Eu fiz uma pizza caseira.
I've taken a photography course.;Eu fiz um curso de fotografia.
I've read two books this month.;Eu li dois livros este mês.
I've lost my sunglasses.;Eu perdi meus óculos de sol.
I've found a great cafe.;Eu encontrei um café ótimo.
I've never gone surfing.;Eu nunca fui surfar.
I've played guitar for years.;Eu toco violão há anos.
I've cooked a new recipe.;Eu cozinhei uma nova receita.
I've ordered a new book.;Eu pedi um livro novo.
I've studied English daily.;Eu estudei inglês diariamente.
I've walked to the park.;Eu caminhei até o parque.
I've changed my phone wallpaper.;Eu mudei o papel de parede do meu celular.
I've planted flowers outside.;Eu plantei flores lá fora.
I've fixed my old chair.;Eu consertei minha cadeira velha.
I've joined a hiking group.;Eu entrei para um grupo de caminhada.
I've tried to bake bread.;Eu tentei assar pão.
I've missed my train today.;Eu perdi meu trem hoje.
I've drawn a cityscape.;Eu desenhei uma paisagem urbana.
I've won a trivia game.;Eu ganhei um jogo de trivia.
I've listened to a podcast.;Eu ouvi um podcast.
I've organized my bookshelf.;Eu organizei minha estante de livros.
I've adopted a kitten.;Eu adotei um gatinho.
I've painted a still life.;Eu pintei uma natureza-morta.
I've attended a local play.;Eu fui a uma peça local.
I've donated old books.;Eu doei livros antigos.
I've built a birdhouse.;Eu construí uma casa de passarinho.
I've learned to sew.;Eu aprendi a costurar.
I've traveled to Spain.;Eu viajei para a Espanha.
I've completed a puzzle.;Eu completei um quebra-cabeça.
I've tasted spicy ramen.;Eu experimentei um ramen picante.
I've run five kilometers.;Eu corri cinco quilômetros.
I've watched the stars tonight.;Eu observei as estrelas esta noite.
I've studied coding basics.;Eu estudei o básico de programação.
I've danced to Latin music.;Eu dancei música latina.
I've climbed a tall hill.;Eu escalei uma colina alta.
I've bought festival tickets.;Eu comprei ingressos para um festival.
I've taught my cousin math.;Eu ensinei matemática ao meu primo.
I've repaired a lamp.;Eu consertei uma luminária.
I've explored a nearby town.;Eu explorei uma cidade próxima.
I've caught a cold recently.;Eu peguei um resfriado recentemente.
I've sung karaoke with friends.;Eu cantei karaokê com amigos.
I've written a blog post.;Eu escrevi um post de blog.
I've driven to the beach.;Eu dirigi até a praia.
I've helped at a food bank.;Eu ajudei em um banco de alimentos.
I've baked a chocolate cake.;Eu assei um bolo de chocolate.
I've photographed a rainbow.;Eu fotografei um arco-íris.
I've created a playlist.;Eu criei uma playlist.
I've swum in a lake.;Eu nadei em um lago.
I've attended a family reunion.;Eu fui a uma reunião de família.
I've solved a math problem.;Eu resolvi um problema de matemática.
I've grown my own herbs.;Eu cultivei minhas próprias ervas.
I've painted my fence.;Eu pintei minha cerca.
I've visited an art gallery.;Eu visitei uma galeria de arte.
I've played volleyball recently.;Eu joguei vôlei recentemente.
I've stayed home all day.;Eu fiquei em casa o dia todo.
I've designed a logo.;Eu projetei um logotipo.
I've hiked a new trail.;Eu caminhei por uma nova trilha.
I've updated my profile.;Eu atualizei meu perfil.
I've negotiated a discount.;Eu negociei um desconto.
I've learned mindfulness techniques.;Eu aprendi técnicas de mindfulness.
I've sewn a pillowcase.;Eu costurei uma fronha.
I've hosted a game night.;Eu organizei uma noite de jogos.
I've skated at the rink.;Eu patinei na pista.
I've tasted vegan dishes.;Eu experimentei pratos veganos.
I've volunteered at a library.;Eu fiz trabalho voluntário em uma biblioteca.
I've watched a classic film.;Eu assisti a um filme clássico.
I've collected seashells.;Eu coletei conchas.
I've attended a seminar.;Eu participei de um seminário.
I've cleaned my windows.;Eu limpei minhas janelas.
I've jogged by the river.;Eu corri ao longo do rio.
I've edited a photo.;Eu editei uma foto.
I've fed stray cats.;Eu alimentei gatos de rua.
I've planned a picnic.;Eu planejei um piquenique.
I've shared a recipe online.;Eu compartilhei uma receita online.
I've discovered a new hobby.;Eu descobri um novo hobby.
I've seen that movie before.;Eu já vi aquele filme antes.
I've been to London twice.;Eu estive em Londres duas vezes.
I've eaten sushi many times.;Eu comi sushi muitas vezes.
I've read all of her books.;Eu li todos os livros dela.
I've known him for ten years.;Eu o conheço há dez anos.
I've lived in this city since 2010.;Eu moro nesta cidade desde 2010.
I've studied French for three years.;Eu estudei francês por três anos.
I've worked at this company for five years.;Eu trabalho nesta empresa há cinco anos.
I've traveled to many different countries.;Eu viajei para muitos países diferentes.
I've met a lot of interesting people.;Eu conheci muitas pessoas interessantes.
I've lost my keys again.;Eu perdi minhas chaves de novo.
I've finished my homework.;Eu terminei minha lição de casa.
I've already had lunch.;Eu já almocei.
I've just arrived home.;Eu acabei de chegar em casa.
I've never been to Australia.;Eu nunca estive na Austrália.
I've never tried spicy food.;Eu nunca experimentei comida apimentada.
I've never seen snow before.;Eu nunca vi neve antes.
I've never forgotten your kindness.;Eu nunca esqueci sua gentileza.
I've never felt so happy.;Eu nunca me senti tão feliz.
I've made a big mistake.;Eu cometi um grande erro.
I've broken my leg.;Eu quebrei minha perna.
I've learned a lot from this experience.;Eu aprendi muito com esta experiência.
I've improved my English skills.;Eu melhorei minhas habilidades de inglês.
I've achieved my goals.;Eu alcancei meus objetivos.
I've overcome many challenges.;Eu superei muitos desafios.
I've had a wonderful time.;Eu tive um tempo maravilhoso.
I've had a busy week.;Eu tive uma semana agitada.
I've had some exciting news.;Eu tive algumas notícias emocionantes.
I've had the pleasure of meeting her.;Eu tive o prazer de conhecê-la.
I've had a lot of fun.;Eu me diverti muito.
I've heard that song before.;Eu já ouvi aquela música antes.
I've heard good things about that restaurant.;Eu ouvi coisas boas sobre aquele restaurante.
I've heard the weather will be nice tomorrow.;Eu ouvi dizer que o tempo estará bom amanhã.
I've heard about your success.;Eu ouvi falar do seu sucesso.
I've heard they are getting married.;Eu ouvi dizer que eles vão se casar.
I've understood everything you said.;Eu entendi tudo o que você disse.
I've understood the instructions clearly.;Eu entendi as instruções claramente.
I've understood the main point of the lecture.;Eu entendi o ponto principal da palestra.
I've understood your concerns.;Eu entendi suas preocupações.
I've understood the complexity of the situation.;Eu entendi a complexidade da situação.
I've forgotten her name.;Eu esqueci o nome dela.
I've forgotten where I put my phone.;Eu esqueci onde coloquei meu celular.
I've forgotten to bring my umbrella.;Eu esqueci de trazer meu guarda-chuva.
I've forgotten what I wanted to say.;Eu esqueci o que eu queria dizer.
I've forgotten the password.;Eu esqueci a senha.
I've decided to take a vacation.;Eu decidi tirar férias.
I've decided to learn a new skill.;Eu decidi aprender uma nova habilidade.
I've decided to move to a different city.;Eu decidi me mudar para outra cidade.
I've decided to start my own business.;Eu decidi abrir meu próprio negócio.
I've decided to eat healthier.;Eu decidi comer de forma mais saudável.
I've found my keys!;Eu encontrei minhas chaves!
I've found a new job.;Eu encontrei um novo emprego.
I've found the perfect gift.;Eu encontrei o presente perfeito.
I've found a solution to the problem.;Eu encontrei uma solução para o problema.
I've found some interesting information online.;Eu encontrei algumas informações interessantes online.
I've lost touch with some old friends.;Eu perdi o contato com alguns velhos amigos.
I've lost my appetite.;Eu perdi o apetite.
I've lost my motivation.;Eu perdi minha motivação.
I've lost my way.;Eu me perdi.
I've lost my train of thought.;Eu perdi o fio da meada.
I've made some new friends.;Eu fiz alguns novos amigos.
I've made a reservation at the restaurant.;Eu fiz uma reserva no restaurante.
I've made progress on my project.;Eu fiz progresso no meu projeto.
I've made a cup of tea for you.;Eu fiz uma xícara de chá para você.
I've made dinner.;Eu fiz o jantar.
I've been waiting for you for an hour.;Eu estou esperando por você há uma hora.
I've been feeling tired lately.;Eu tenho me sentido cansado ultimamente.
I've been working on this report all morning.;Eu estou trabalhando neste relatório a manhã toda.
I've been thinking about our conversation.;Eu tenho pensado sobre nossa conversa.
I've been studying hard for the exam.;Eu tenho estudado muito para a prova.
I've called you several times.;Eu te liguei várias vezes.
I've sent you an email.;Eu te enviei um e-mail.
I've told you before.;Eu já te disse antes.
I've asked him for help.;Eu pedi ajuda a ele.
I've shown you how to do it.;Eu te mostrei como fazer isso.
I've written a letter to her.;Eu escrevi uma carta para ela.
I've read that article.;Eu li aquele artigo.
I've seen that play.;Eu vi aquela peça.
I've visited that museum.;Eu visitei aquele museu.
I've tried that new coffee shop.;Eu experimentei aquela cafeteria nova.
I've tasted that cake.;Eu provei aquele bolo.
I've felt this way before.;Eu já me senti assim antes.
I've felt a bit under the weather.;Eu tenho me sentido um pouco indisposto.
I've felt so much better after the rest.;Eu me senti muito melhor depois do descanso.
I've felt a sense of accomplishment.;Eu senti uma sensação de realização.
I've felt nervous before important events.;Eu me senti nervoso antes de eventos importantes.
I've been so busy.;Eu tenho estado tão ocupado.
I've been very happy recently.;Eu tenho estado muito feliz recentemente.
I've been quite worried about you.;Eu tenho estado bastante preocupado com você.
I've been really impressed with your work.;Eu tenho ficado muito impressionado com seu trabalho.
I've been incredibly lucky.;Eu tenho sido incrivelmente sortudo.
I've had enough of this.;Já chega disso.
I've had it with the traffic.;Cansei do trânsito.
I've had my share of problems.;Eu já tive minha cota de problemas.
I've had a long day.;Eu tive um dia longo.
I've had my ups and downs.;Eu tive meus altos e baixos.
I've made up my mind.;Eu me decidi.
I've set my goals high.;Eu estabeleci metas altas.
I've changed my opinion.;Eu mudei minha opinião.
I've packed my suitcase.;Eu arrumei minha mala.
I've cleaned the house.;Eu limpei a casa.
